time,value
72.1754,5761.6487885
72.2337,5761.6723541
72.292,5761.9555565
72.3503,5761.689962
72.4086,5761.8806681
72.4669,5761.5943968
72.5252,5761.8334658
72.5835,5761.5323016
72.6418,5761.5190912
72.7001,5761.6567367
72.7584,5761.7701892
72.8167,5761.7575204
72.875,5761.8593576
72.9333,5761.7066849
72.9916,5761.6775994
73.0499,5761.339938
73.1082,5761.2771976
73.1665,5760.9913619
73.2248,5761.1815351
73.2831,5760.9019702
73.3414,5760.7093699
73.3997,5760.6502601
73.458,5760.5405548
73.5163,5760.3934487
73.5746,5760.4204779
73.6329,5760.3834596
73.6912,5760.5686118
73.7495,5760.5016812
73.8078,5760.2336053
73.8661,5760.3688874
73.9244,5760.2904582
73.9827,5760.4652809
74.041,5760.4540041
74.08,5760.4912157
74.0993,5760.4912157
74.1576,5760.4853013
74.2159,5760.3478622
74.2742,5760.1284306
74.3325,5760.0169699
74.3908,5760.0067937
74.4491,5760.0724994
74.5074,5760.125041
74.5657,5760.1820163
74.624,5760.6033837
74.6823,5760.5838019
74.7406,5760.6989934
74.7989,5760.4276015
74.8572,5760.5050586
74.9155,5760.6412911
74.9738,5760.6547258
75.0321,5760.5040551
75.0904,5760.7969443
75.1487,5760.5229081
75.207,5760.7316691
75.2653,5760.6317504
75.3236,5760.6001059
75.3819,5760.6542533
75.4402,5760.7244691
75.4985,5760.8580463
75.5568,5761.1578894
75.6151,5761.2918077
75.6734,5761.2796029
75.7317,5761.3556109
75.79,5761.3417126
75.8483,5761.3571559
75.9066,5761.5233976
75.9649,5761.3230227
76.0232,5761.1780302
76.0815,5761.3460161
76.1398,5761.365677
76.1981,5761.8511874
76.2564,5761.6773017
76.3147,5761.8764528
76.373,5761.7048879
76.4313,5761.6418122
76.4896,5761.60346
76.5479,5761.9527066
76.6062,5761.9764311
76.6645,5761.8762483
76.7228,5762.0582103
76.7811,5762.224083
76.8394,5762.1823728
76.8977,5762.1117579
76.956,5762.0035848
77.0143,5761.9558217
77.0726,5761.9185964
77.1309,5762.1627253
77.1892,5761.8839666
77.2475,5761.9798554
77.3058,5761.8807372
77.3641,5761.6243142
77.4224,5761.5354525
77.4807,5761.46222
77.539,5761.3852506
77.5973,5761.2423773
77.6556,5760.8915917
77.7139,5760.8369123
77.7722,5760.5455034
77.8305,5760.4605358
77.8888,5760.4565152
77.9471,5760.7184473
78.0054,5760.5438315
78.0637,5760.6494598
78.122,5760.6429539
78.1803,5760.7703564
78.2386,5760.6556941
78.2969,5760.6400761
78.3552,5760.8089563
78.4135,5760.9214434
78.4718,5761.0323613
78.5301,5761.1634197
78.5884,5761.1082429
78.6467,5761.4399113
78.705,5761.6632072
78.7633,5761.5976226
78.8216,5761.7202226
78.8799,5761.8487792
78.9382,5761.9930962
78.9965,5761.8317
79.0548,5761.8954285
79.1131,5761.6669533
79.1714,5761.7956284
79.2297,5761.9668631
79.288,5761.6285536
79.3463,5761.8798026
79.4046,5761.9172863
79.4629,5762.0645976
79.5212,5762.1329229
79.5795,5762.2047903
79.6378,5762.3055867
79.6961,5762.5889325
79.7544,5762.5388207
79.8127,5762.6294448
79.871,5762.6538957
79.9293,5762.7558428
79.9876,5762.8883706
80.0459,5762.8948758
80.1042,5763.0391642
80.1625,5762.8670035
80.2208,5762.7892285
80.2791,5762.7672224
80.3374,5762.5610088
80.3957,5762.4767657
80.454,5762.4022595
80.5123,5762.5364978
80.5706,5762.7110112
80.6289,5762.8546246
80.6872,5762.8912791
80.7455,5762.5228095
80.8038,5762.4173968
80.8621,5762.3133896
80.9204,5762.3705269
80.9787,5762.3985489
81.037,5762.5599997
81.0953,5762.3693173
81.1536,5762.6672685
81.2119,5762.4689736
81.2702,5762.5920123
81.3285,5762.5897479
81.3868,5762.4857549
81.4451,5762.7906125
81.5034,5762.5546671
81.5617,5762.772084
81.62,5762.5534687
81.6783,5762.5676657
81.7366,5762.5609905
81.7949,5762.5222846
81.8532,5762.2461885
81.9115,5762.526003
81.9698,5762.2731805
82.0281,5761.9926908
82.0864,5762.208596
82.1447,5761.8313428
82.203,5761.9433523
82.2613,5761.7605316
82.3196,5762.1175162
82.3779,5762.299117
82.4362,5761.9926384
82.4945,5761.972235
82.5528,5762.0756461
82.6111,5761.9512355
82.6694,5761.9758401
82.7277,5762.2582728
82.786,5762.3688651
82.8443,5762.6824793
82.9026,5762.6924719
82.9609,5762.9817592
83.0192,5763.0803152
83.0775,5763.338254
83.1358,5763.2824039
83.1941,5762.9790285
83.2524,5763.0356553
83.3107,5762.9251455
83.369,5762.7667367
83.4273,5762.6760708
83.4856,5762.3813596
83.5439,5761.7874748
83.6022,5761.4663568
83.6605,5761.617807
83.7188,5761.4248355
83.7771,5761.1823184
83.8354,5761.2884642
83.8937,5761.2807144
83.952,5761.4581281
84.0103,5761.282797
84.0686,5761.1750245
84.1269,5761.2124391
84.1852,5761.3502414
84.2435,5761.1846738
84.3018,5761.5872826
84.3601,5761.4857182
84.4184,5761.2571146
84.4767,5761.2654609
84.535,5761.2033621
84.5933,5761.1741652
84.6516,5761.4766773
84.7099,5761.6009903
84.7682,5761.5318096
84.8265,5761.2953396
84.8848,5761.2423656
84.9431,5761.354007
85.0014,5761.1114463
85.0597,5761.093447
85.118,5760.7593704
85.1763,5760.9185022
85.2346,5760.7318464
